beta,seed,method,inst_id,rule,alone,plus_sup,rule_sup,oracle
1.0,305,m0,c09_storm2_w80_u100_0022.json,1216.011200,1040.326000,1009.137200,1099.216000,991.862400
1.0,305,m0,c09_storm2_w80_u100_0023.json,5676.362400,2997.913200,2795.016800,4018.612400,2621.206400
1.0,305,m0,c09_storm2_w80_u100_0024.json,4396.206800,2256.460000,2040.570000,2834.593600,1996.894800
1.0,305,m0,c09_storm2_w80_u100_0025.json,6411.756400,3115.884800,2726.807200,4054.931600,2533.840800
1.0,305,m0,c09_storm2_w80_u100_0026.json,5006.202000,2343.769600,2240.326800,4109.313600,1938.243600
1.0,305,m0,c09_storm2_w80_u100_0027.json,2535.368000,1758.764400,1660.415200,2061.197200,1685.882800
1.0,305,m0,c09_storm2_w80_u100_0028.json,2083.722400,1299.776800,1299.776800,2021.848800,1316.495200
1.0,305,m0,c09_storm2_w80_u100_0029.json,4540.255600,1789.257600,1403.908000,2328.602400,1226.778800
1.0,305,m2t,c09_storm2_w80_u100_0020.json,2113.920800,1808.272800,1692.816400,1974.308800,1660.290800
1.0,305,m2t,c09_storm2_w80_u100_0021.json,2468.501600,2158.043200,2153.151600,2425.110000,2178.691200
1.0,305,m2t,c09_storm2_w80_u100_0022.json,1216.011200,1054.651600,1032.859600,1099.216000,991.862400
1.0,305,m2t,c09_storm2_w80_u100_0023.json,5676.362400,4337.612800,3196.116400,4018.612400,2621.206400
1.0,305,m2t,c09_storm2_w80_u100_0024.json,4396.206800,3400.928000,2618.012800,2834.593600,1996.894800
1.0,305,m2t,c09_storm2_w80_u100_0025.json,6411.756400,4582.551200,3182.842800,4054.931600,2533.840800
1.0,305,m2t,c09_storm2_w80_u100_0026.json,5006.202000,3523.881600,3060.887200,4109.313600,1938.243600
1.0,305,m2t,c09_storm2_w80_u100_0027.json,2535.368000,2017.548800,1858.232800,2061.197200,1685.882800
1.0,305,m2t,c09_storm2_w80_u100_0028.json,2083.722400,1330.304800,1336.500800,2021.848800,1316.495200
1.0,305,m2t,c09_storm2_w80_u100_0029.json,4540.255600,3676.508800,1916.130800,2328.602400,1226.778800
1.0,305,m2a,c09_storm2_w80_u100_0020.json,2113.920800,1842.202800,1773.468000,1974.308800,1660.290800
1.0,305,m2a,c09_storm2_w80_u100_0021.json,2468.501600,2172.069200,2165.536400,2425.110000,2178.691200
1.0,305,m2a,c09_storm2_w80_u100_0022.json,1216.011200,991.158400,995.072800,1099.216000,991.862400
1.0,305,m2a,c09_storm2_w80_u100_0023.json,5676.362400,4507.999200,3229.335600,4018.612400,2621.206400
1.0,305,m2a,c09_storm2_w80_u100_0024.json,4396.206800,3529.250400,2481.243600,2834.593600,1996.894800
1.0,305,m2a,c09_storm2_w80_u100_0025.json,6411.756400,4669.126000,2984.604400,4054.931600,2533.840800
1.0,305,m2a,c09_storm2_w80_u100_0026.json,5006.202000,3416.662400,3018.350000,4109.313600,1938.243600
1.0,305,m2a,c09_storm2_w80_u100_0027.json,2535.368000,2030.495200,1809.424400,2061.197200,1685.882800
1.0,305,m2a,c09_storm2_w80_u100_0028.json,2083.722400,1360.966800,1366.753600,2021.848800,1316.495200
1.0,305,m2a,c09_storm2_w80_u100_0029.json,4540.255600,3743.032000,2135.785200,2328.602400,1226.778800
0.75,302,m0,c09_storm2_w80_u100_0020.json,1970.798400,1494.960000,1448.201600,1805.723200,1483.052800
0.75,302,m0,c09_storm2_w80_u100_0021.json,2264.009600,1958.578400,1927.749600,2217.445200,1971.832800
0.75,302,m0,c09_storm2_w80_u100_0022.json,1037.825200,932.205600,929.102800,987.404800,943.385600
0.75,302,m0,c09_storm2_w80_u100_0023.json,5139.423200,3196.083200,2508.346000,3876.339600,2455.561600
0.75,302,m0,c09_storm2_w80_u100_0024.json,3391.733200,2276.804000,1680.431200,2317.194000,1671.604000
0.75,302,m0,c09_storm2_w80_u100_0025.json,5774.884000,3592.395600,2830.556400,3581.575200,2693.900800
0.75,302,m0,c09_storm2_w80_u100_0026.json,3948.285600,2063.912000,1958.822000,3328.996800,1935.640400
0.75,302,m0,c09_storm2_w80_u100_0027.json,2795.221600,2071.234800,1857.536400,2275.049600,1847.675600
0.75,302,m0,c09_storm2_w80_u100_0028.json,1959.486400,1493.479600,1500.593200,1812.686400,1501.540800
0.75,302,m0,c09_storm2_w80_u100_0029.json,4020.284800,2327.092800,1459.172800,2058.041600,1393.838000
0.75,302,m2t,c09_storm2_w80_u100_0020.json,1970.798400,1855.317200,1622.726400,1805.723200,1483.052800
0.75,302,m2t,c09_storm2_w80_u100_0021.json,2264.009600,2122.589600,1993.637200,2217.445200,1971.832800
0.75,302,m2t,c09_storm2_w80_u100_0022.json,1037.825200,1025.660400,947.152000,987.404800,943.385600
0.75,302,m2t,c09_storm2_w80_u100_0023.json,5139.423200,4257.029200,2996.614400,3876.339600,2455.561600
0.75,302,m2t,c09_storm2_w80_u100_0024.json,3391.733200,3007.155600,1743.109200,2317.194000,1671.604000
0.75,302,m2t,c09_storm2_w80_u100_0025.json,5774.884000,4938.466400,3229.641600,3581.575200,2693.900800
0.75,302,m2t,c09_storm2_w80_u100_0026.json,3948.285600,2887.834400,2474.886400,3328.996800,1935.640400
0.75,302,m2t,c09_storm2_w80_u100_0027.json,2795.221600,2479.250800,1931.526400,2275.049600,1847.675600
0.75,302,m2t,c09_storm2_w80_u100_0028.json,1959.486400,1651.130000,1526.050400,1812.686400,1501.540800
0.75,302,m2t,c09_storm2_w80_u100_0029.json,4020.284800,3547.564000,1801.542400,2058.041600,1393.838000
0.75,302,m2a,c09_storm2_w80_u100_0020.json,1970.798400,1883.410000,1595.528000,1805.723200,1483.052800
