cell,tag,arm,policy,split_fit,alpha,band_mode,campus,u,beta,rho,eps,seed,inst_id,rule,rule_sup,m0_alone,m0_sup,oracle,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0023,4099.384400,3071.893600,3618.127600,2558.913200,2308.195200,0.250147,0.120000,0.250439,0.116822
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0024,1943.420000,1345.712400,1786.740400,1399.180400,1285.333600,0.250158,0.083333,0.250315,0.070529
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0025,3707.412000,3050.174000,3402.316800,2610.382800,1896.992800,0.243106,0.076389,0.244955,0.057208
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0026,3150.937600,2609.772800,2569.594000,2154.467200,1851.407200,0.250147,0.075294,0.250147,0.049296
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0027,1808.482000,1455.801600,1552.674000,1484.677600,1322.403200,0.250000,0.068354,0.250000,0.045340
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0028,1488.968400,1446.582400,1326.755200,1284.474000,1174.773600,0.250000,0.040506,0.250000,0.017677
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0029,2294.863600,1566.371200,2152.568400,1203.347200,1059.860800,0.250139,0.062084,0.250276,0.061810
c9_storm2_u100_b0.20_r0.25_eps0.25,B,stability,stability,1,0.1,global,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0020,1473.651200,1389.902800,1561.333600,1417.812400,1177.979600,0.247010,0.171913,0.247490,0.183771
c9_storm2_u100_b0.20_r0.25_eps0.25,B,stability,stability,1,0.1,global,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0021,1519.953200,1447.764000,1556.515600,1516.394400,1348.460800,0.250169,0.148248,0.248489,0.148649
c9_storm2_u100_b0.20_r0.25_eps0.25,B,stability,stability,1,0.1,global,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0022,936.385600,882.161600,975.062000,927.832800,873.416000,0.241472,0.110803,0.237344,0.113573
c9_storm2_u100_b0.20_r0.25_eps0.25,B,stability,stability,1,0.1,global,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0023,4099.384400,3140.272800,3916.174800,3257.143200,2308.195200,0.250441,0.293427,0.245911,0.289786
c9_storm2_u100_b0.20_r0.25_eps0.25,B,stability,stability,1,0.1,global,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0024,1943.420000,1446.506400,1779.473600,1338.289200,1285.333600,0.248580,0.187817,0.240379,0.170604
c9_storm2_u100_b0.20_r0.25_eps0.25,B,stability,stability,1,0.1,global,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0025,3707.412000,2944.162400,3526.136400,2877.738000,1896.992800,0.237479,0.177725,0.234078,0.164678
c9_storm2_u100_b0.20_r0.25_eps0.25,B,stability,stability,1,0.1,global,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0026,3150.937600,2471.747600,3017.416400,2489.065200,1851.407200,0.247793,0.161520,0.250145,0.183721
