campus,track,size,alpha,inst_id,n_bldg,n_restr_bldg,n_restr_jobs,rule_rec,rule_access,rule_twt,rule_feas,reorder_twt,reorder_access,reorder_feas,defer_twt,defer_rec,defer_access,defer_feas
5,replay,150,0.1,c05_replay_150_0051,75,7,14,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0051,75,11,21,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0052,69,11,21,0.0,448.0,448.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0052,69,21,59,0.0,1728.0,1728.0,True,768.0,768.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0053,78,8,13,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0053,78,14,28,0.0,640.0,640.0,True,640.0,640.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0054,72,7,18,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0054,72,16,33,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0055,72,6,14,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0055,72,11,23,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0056,72,10,29,0.0,768.0,768.0,True,768.0,768.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0056,72,13,34,0.0,960.0,960.0,True,960.0,960.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0057,67,9,15,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0057,67,15,23,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0058,66,9,23,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0058,66,17,40,0.0,448.0,448.0,True,448.0,448.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0059,59,2,2,25.43180000000001,0.0,25.43180000000001,True,25.43180000000001,0.0,True,25.43180000000001,25.43180000000001,0.0,True
5,replay,150,0.2,c05_replay_150_0059,59,6,7,25.43180000000001,0.0,25.43180000000001,True,25.43180000000001,0.0,True,25.43180000000001,25.43180000000001,0.0,True
5,replay,150,0.1,c05_replay_150_0060,69,10,15,21.729600000000005,192.0,213.7296,True,213.7296,192.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.2,c05_replay_150_0060,69,15,25,21.729600000000005,384.0,405.7296,True,405.7296,384.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.1,c05_replay_150_0061,74,15,30,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0061,74,21,42,0.0,704.0,704.0,True,704.0,704.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0062,82,13,21,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0062,82,21,40,0.0,576.0,576.0,True,576.0,576.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0063,73,5,13,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0063,73,14,26,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0064,74,4,9,21.729600000000005,192.0,213.7296,True,213.7296,192.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.2,c05_replay_150_0064,74,9,19,21.729600000000005,384.0,405.7296,True,405.7296,384.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.1,c05_replay_150_0065,79,10,14,21.729600000000005,192.0,213.7296,True,149.7296,128.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.2,c05_replay_150_0065,79,16,30,21.729600000000005,640.0,661.7296,True,405.7296,384.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.1,c05_replay_150_0066,64,8,21,0.0,448.0,448.0,True,448.0,448.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0066,64,11,29,0.0,576.0,576.0,True,576.0,576.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0067,72,4,6,0.0,64.0,64.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0067,72,11,19,0.0,128.0,128.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0068,74,9,21,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
