campus,track,level,rule,beta,inst_id,twt_rule,twt_oracle
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0005,25.4994,25.4994
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0005,25.4994,25.4994
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0006,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0006,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0006,37.2120,37.2120
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0006,37.2120,37.2120
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0007,1.8182,1.8182
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0007,1.8182,1.8182
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0007,1.8182,1.8182
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0007,1.8182,1.8182
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0008,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0008,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0008,0.0000,0.0000
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0008,0.0000,0.0000
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0009,15.1246,15.1246
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0009,15.1246,15.1246
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0009,15.1246,15.1246
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0009,15.1246,15.1246
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0010,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0010,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0010,0.0000,0.0000
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0010,0.0000,0.0000
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0011,10.6200,10.6200
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0011,10.6200,10.6200
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0011,43.2170,43.2170
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0011,43.2170,43.2170
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0012,0.8067,0.8067
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0012,0.8067,0.8067
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0012,31.8995,31.8995
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0012,31.8995,31.8995
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0013,5.2480,5.2480
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0013,5.2480,5.2480
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0013,0.0000,0.0000
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0013,0.0000,0.0000
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0014,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0014,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0014,1.8754,1.8754
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0014,1.8754,1.8754
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0015,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0015,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0015,0.0000,0.0000
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0015,0.0000,0.0000
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0016,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0016,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0016,0.0000,0.0000
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0016,0.0000,0.0000
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0017,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0017,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0017,7.5948,7.5948
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0017,7.5948,7.5948
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0018,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0018,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0018,0.0000,0.0000
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0018,0.0000,0.0000
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0019,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0019,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0019,0.0000,0.0000
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0019,0.0000,0.0000
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0020,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0020,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0020,0.0000,0.0000
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0020,0.0000,0.0000
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0021,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0021,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0021,0.0000,0.0000
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0021,0.0000,0.0000
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0022,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0022,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0022,12.1744,12.1744
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0022,12.1744,12.1744
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0023,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0023,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0023,4.5066,4.5066
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0023,4.5066,4.5066
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0024,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0024,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0024,2.0140,2.0140
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0024,2.0140,2.0140
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0025,31.7862,31.7862
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0025,31.7862,31.7862
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0025,63.7862,63.7862
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0025,63.7862,63.7862
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0026,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0026,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0026,0.0000,0.0000
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0026,0.0000,0.0000
