scope,campus,cell,rule,beta,n,mean_rule,mean_oracle,abs_gap,pct,wins,ties,losses
campus,9,storm/150/a200_c80,edd,1.0,30,55.9267,55.9267,0.0000,0.0000,0,30,0
campus,10,storm/150/a200_c80,edd,1.0,30,25.5911,25.5911,0.0000,0.0000,0,30,0
campus,12,storm/150/a200_c80,edd,1.0,30,564.7601,565.1250,-0.3649,-0.0646,0,29,1
pooled_loaded,9+12,storm/150/a200_c80,edd,1.0,60,310.3434,310.5259,-0.1825,-0.0588,0,59,1
campus,5,storm/150/a300_c100,atc,0.5,30,6.3194,6.2743,0.0451,0.7137,1,29,0
campus,9,storm/150/a300_c100,atc,0.5,30,47.2693,47.2693,0.0000,0.0000,0,30,0
campus,10,storm/150/a300_c100,atc,0.5,30,14.4531,14.4531,0.0000,0.0000,0,30,0
campus,12,storm/150/a300_c100,atc,0.5,30,505.2389,505.2389,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a300_c100,atc,0.5,60,276.2541,276.2541,0.0000,0.0000,0,60,0
campus,5,storm/150/a300_c100,atc,1.0,30,7.3340,7.3340,0.0000,0.0000,0,30,0
campus,9,storm/150/a300_c100,atc,1.0,30,55.0619,55.0619,0.0000,0.0000,0,30,0
campus,10,storm/150/a300_c100,atc,1.0,30,15.9598,15.9598,0.0000,0.0000,0,30,0
campus,12,storm/150/a300_c100,atc,1.0,30,435.3137,435.3137,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a300_c100,atc,1.0,60,245.1878,245.1878,0.0000,0.0000,0,60,0
campus,5,storm/150/a300_c100,edd,0.5,30,6.7809,6.2743,0.5066,7.4709,2,28,0
campus,9,storm/150/a300_c100,edd,0.5,30,47.2693,47.2693,0.0000,0.0000,0,30,0
campus,10,storm/150/a300_c100,edd,0.5,30,14.4531,14.4531,0.0000,0.0000,0,30,0
campus,12,storm/150/a300_c100,edd,0.5,30,505.2389,505.2389,0.0000,0.0000,0,30,0
