campus,track,size,level,beta,inst_id,nwo,status_rule,status_rule_fair,status_oracle,both_opt,both_opt_fair,twt_rule,twt_rule_fair,twt_oracle
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0005,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,445.4553,342.6060,342.6060
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0006,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,1525.5826,1345.6351,1345.6351
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0006,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,1773.1327,1481.1852,1481.1852
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0007,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,279.1840,180.5428,180.5428
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0007,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,72.8314,52.6988,52.6988
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0008,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,359.0046,293.3194,293.3194
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0008,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,350.3591,193.4768,193.4768
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0009,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,443.4069,24.6680,24.6680
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0009,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,281.2875,69.3504,69.3504
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0010,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,516.8707,375.8640,375.8640
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0010,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,319.7378,301.5040,301.5040
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0011,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,393.1961,366.6452,366.6452
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0011,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,335.4052,335.4052,335.4052
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0012,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,287.0075,91.5370,91.5370
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0012,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,336.0011,85.8908,85.8908
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0013,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,705.9955,86.0695,86.0695
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0013,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,588.0207,84.6280,84.6280
