source,campus,crew_m,beta,inst_id,window_bh,pooled_u,worst_u,twt_rule_atc,twt_oracle_atc,twt_rule_edd,twt_oracle_edd,feas_rule_atc,feas_oracle_atc,feas_rule_edd,feas_oracle_edd,incomplete_rule_atc
replay,12,1.0,0.5,c12_replay_400_0027,30.4011,0.5108039738092386,1.1756153560233018,1852.3183999999999,1852.3183999999999,1852.3183999999999,1852.3183999999999,1,1,1,1,83
replay,12,1.0,1.0,c12_replay_400_0027,30.4011,0.5108039738092386,1.1756153560233018,1014.8,1014.8,1014.8,1014.8,1,1,1,1,83
replay,12,1.0,0.5,c12_replay_400_0028,24.0,0.5664929659498209,1.434909523809524,1440.0592000000001,1440.0592000000001,1440.0592000000001,1440.0592000000001,1,1,1,1,109
replay,12,1.0,1.0,c12_replay_400_0028,24.0,0.5664929659498209,1.434909523809524,1341.7887999999998,1341.7887999999998,1341.7887999999998,1341.7887999999998,1,1,1,1,109
replay,12,1.0,0.5,c12_replay_400_0029,15.5781,0.5587792360560211,1.5325275012143116,736.3295999999999,736.3295999999999,736.3295999999999,736.3295999999999,1,1,1,1,66
replay,12,1.0,1.0,c12_replay_400_0029,15.5781,0.5587792360560211,1.5325275012143116,874.596,874.596,874.596,874.596,1,1,1,1,66
replay,12,1.0,0.5,c12_replay_400_0030,33.8939,0.353056360856889,0.7327799819015052,1418.3776,1418.3776,1418.3776,1418.3776,1,1,1,1,78
replay,12,1.0,1.0,c12_replay_400_0030,33.8939,0.353056360856889,0.7327799819015052,1054.6480000000001,1054.6480000000001,1054.6480000000001,1054.6480000000001,1,1,1,1,78
replay,12,1.0,0.5,c12_replay_400_0031,17.8953,0.7843740312903688,1.2817611328114087,1337.0628000000002,1337.0628000000002,1337.0628000000002,1337.0628000000002,1,1,1,1,89
replay,12,1.0,1.0,c12_replay_400_0031,17.8953,0.7843740312903688,1.2817611328114087,1050.522,1050.522,1050.522,1050.522,1,1,1,1,89
replay,12,1.0,0.5,c12_replay_400_0032,16.0,0.5715041330645163,1.5700375,630.4000000000001,630.4000000000001,630.4000000000001,630.4000000000001,1,1,1,1,110
replay,12,1.0,1.0,c12_replay_400_0032,16.0,0.5715041330645163,1.5700375,828.4000000000001,828.4000000000001,828.4000000000001,828.4000000000001,1,1,1,1,110
replay,12,1.0,0.5,c12_replay_400_0033,24.0,0.4397994399641577,0.6900333333333334,656.0,656.0,656.0,656.0,1,1,1,1,94
replay,12,1.0,1.0,c12_replay_400_0033,24.0,0.4397994399641577,0.6900333333333334,855.0,855.0,855.0,855.0,1,1,1,1,94
replay,12,1.0,0.5,c12_replay_400_0034,24.0,0.6298453405017922,1.4049479166666667,1305.7296,1305.7296,1305.7296,1305.7296,1,1,1,1,98
