part,scope,campus,regime,u,size,beta,rho,seed,inst_id,n_wos,util_pool,util_worst,subsampled,rule,m0_alone,oracle,rule_sup,m0_sup,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
B,e3,9,storm2,70,,0.5,0.25,301,c09_storm2_w80_u70_0021,1686,0.700777710858586,0.9395945758928572,0,1119.015200,1119.015200,1122.718400,1119.015200,1119.015200,0.2500,0.0000,0.2530,0.0000
B,e3,9,storm2,70,,0.5,0.25,301,c09_storm2_w80_u70_0022,1686,0.700777710858586,0.9395945758928572,0,908.775200,916.176800,902.964400,908.775200,916.176800,0.2515,0.0000,0.2507,0.0000
B,e3,9,storm2,70,,0.5,0.25,301,c09_storm2_w80_u70_0023,1686,0.700777710858586,0.9395945758928572,0,910.877200,910.877200,911.566800,910.877200,910.877200,0.2527,0.0000,0.2527,0.0000
B,e3,9,storm2,70,,0.5,0.25,301,c09_storm2_w80_u70_0024,1686,0.700777710858586,0.9395945758928572,0,1086.670400,1072.615200,1125.056800,1086.921600,1072.157600,0.2506,0.0090,0.2500,0.0090
B,e3,9,storm2,70,,0.5,0.25,301,c09_storm2_w80_u70_0025,1686,0.700777710858586,0.9395945758928572,0,1064.612000,1064.612000,1064.612000,1064.612000,1064.612000,0.2525,0.0000,0.2525,0.0000
B,e3,9,storm2,70,,0.5,0.25,301,c09_storm2_w80_u70_0026,1686,0.700777710858586,0.9395945758928572,0,777.633200,751.965600,740.985200,761.704000,751.999600,0.2500,0.0065,0.2508,0.0064
B,e3,9,storm2,70,,0.5,0.25,301,c09_storm2_w80_u70_0027,1686,0.700777710858586,0.9395945758928572,0,1104.446000,1104.446000,1102.753200,1104.446000,1104.446000,0.2500,0.0000,0.2500,0.0000
B,e3,9,storm2,70,,0.5,0.25,301,c09_storm2_w80_u70_0028,1686,0.700777710858586,0.9395945758928572,0,1060.126400,1067.714400,1040.672800,1065.773600,1060.380000,0.2505,0.0444,0.2500,0.0292
B,e3,9,storm2,70,,0.5,0.25,301,c09_storm2_w80_u70_0029,1686,0.700777710858586,0.9395945758928572,0,462.259200,464.496000,460.113200,462.259200,464.496000,0.2525,0.0000,0.2508,0.0000
B,e3,9,storm2,70,,0.0,0.25,301,c09_storm2_w80_u70_0020,1686,0.700777710858586,0.9395945758928572,0,1336.268000,1338.654400,1304.768000,1336.806400,1351.228800,0.2470,0.0054,0.2458,0.0105
B,e3,9,storm2,70,,0.0,0.25,301,c09_storm2_w80_u70_0021,1686,0.700777710858586,0.9395945758928572,0,950.195600,950.195600,950.195600,950.195600,950.195600,0.2500,0.0000,0.2529,0.0000
B,e3,9,storm2,70,,0.0,0.25,301,c09_storm2_w80_u70_0022,1686,0.700777710858586,0.9395945758928572,0,445.652800,445.652800,451.593600,445.652800,445.652800,0.2507,0.0118,0.2514,0.0115
B,e3,9,storm2,70,,0.0,0.25,301,c09_storm2_w80_u70_0023,1686,0.700777710858586,0.9395945758928572,0,585.544400,587.903600,589.739600,585.544400,587.903600,0.2527,0.0000,0.2527,0.0000
B,e3,9,storm2,70,,0.0,0.25,301,c09_storm2_w80_u70_0024,1686,0.700777710858586,0.9395945758928572,0,875.506400,875.506400,907.303200,875.506400,875.506400,0.2460,0.0000,0.2409,0.0000
B,e3,9,storm2,70,,0.0,0.25,301,c09_storm2_w80_u70_0025,1686,0.700777710858586,0.9395945758928572,0,1127.043600,1127.043600,1127.043600,1127.043600,1127.043600,0.2492,0.0000,0.2451,0.0000
B,e3,9,storm2,70,,0.0,0.25,301,c09_storm2_w80_u70_0026,1686,0.700777710858586,0.9395945758928572,0,840.394800,842.433600,822.995200,821.694000,823.162400,0.2484,0.0258,0.2481,0.0312
B,e3,9,storm2,70,,0.0,0.25,301,c09_storm2_w80_u70_0027,1686,0.700777710858586,0.9395945758928572,0,865.187600,864.331600,865.022000,865.187600,864.331600,0.2500,0.0000,0.2500,0.0000
B,e3,9,storm2,70,,0.0,0.25,301,c09_storm2_w80_u70_0028,1686,0.700777710858586,0.9395945758928572,0,1067.024000,1070.486800,1004.520400,1010.104400,1020.748400,0.2514,0.0216,0.2500,0.0211
B,e3,9,storm2,70,,0.0,0.25,301,c09_storm2_w80_u70_0029,1686,0.700777710858586,0.9395945758928572,0,537.514400,523.526800,521.266000,523.526800,523.526800,0.2393,0.0137,0.2416,0.0000
