t_bh,wo,n_cand,recorded_class,s_hat,s_lo,s_hi,c_hat,c_hat_lo,c_hat_hi,interval_width,margin,rival,verdict,c_star_eval_only
54.504999999999995,W1236,47,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-8.518510246616467e-11,W1292,refer,4
54.5894,W1504,37,1,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,1.0064468933269382,1.0,1.2966906977817416,0.2966906977817416,1.612783658829435,W1502,automate,1
54.6011,W1292,46,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-9.238604951398677e-11,W1237,refer,4
54.6049,W1502,36,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.5511572337638018e-05,W1046,refer,4
54.664699999999996,W1237,45,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.069353541899101e-10,W1387,refer,4
54.6909,W1046,35,4,0.019657045602798462,-0.270586758852005,0.30990085005760193,3.9803429543972015,3.690099149942398,4.0,0.30990085005760193,-1.7704904802904077e-05,W1069,refer,3
54.7112,W1387,45,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.816219812416384e-10,W1363,refer,4
54.84989999999999,W1363,46,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.3820545372683268e-10,W1456,refer,4
54.85359999999999,W1489,48,2,-0.181165874004364,-0.4714096784591675,0.10907793045043945,2.181165874004364,1.8909220695495605,2.4714096784591675,0.5804876089096069,-0.0036601917871294807,W1491,refer,3
54.857800000000005,W1491,47,2,-0.46315306425094604,-0.7533968687057495,-0.17290925979614258,2.463153064250946,2.1729092597961426,2.7533968687057495,0.5804876089096069,5.368988732069323e-06,W1273,automate,4
54.944500000000005,W1456,47,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.0898433083296522e-10,W1412,refer,4
55.13809999999999,W1412,46,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.5939869597846418e-10,W1486,refer,4
55.1612,W1517,36,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,0.08898266562550489,W1069,automate,2
55.2354,W1273,48,4,0.2113398313522339,-0.07890397310256958,0.5015836358070374,3.788660168647766,3.4984163641929626,4.0,0.5015836358070374,-6.216684962290416e-10,W1505,refer,2
55.2392,W1486,47,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-3.2582177236768533e-10,W1509,refer,4
55.264300000000006,W1069,36,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.6277658658536668e-05,W1453,refer,3
55.2786,W1505,47,4,0.31375306844711304,0.02350926399230957,0.6039968729019165,3.686246931552887,3.3960031270980835,3.9764907360076904,0.5804876089096069,-5.0112385426311836e-11,W1515,refer,2
55.41949999999999,W1515,46,4,0.2788804769515991,-0.011363327503204346,0.5691242814064026,3.721119523048401,3.4308757185935974,4.0,0.5691242814064026,-3.650008888709763e-11,W1449,refer,2
55.4553,W1522,38,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,0.12620586607683942,W1523,automate,2
55.46999999999999,W1449,45,4,0.2788804769515991,-0.011363327503204346,0.5691242814064026,3.721119523048401,3.4308757185935974,4.0,0.5691242814064026,-2.7898594933014273e-12,W1472,refer,2
55.47920000000002,W1509,47,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-4.154243846085986e-10,W1332,refer,4
55.528000000000006,W1332,46,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-6.007919970866329e-10,W1368,refer,4
55.5376,W1527,40,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,0.14614478395471808,W1528,automate,2
55.6182,W1368,45,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-7.330304453191009e-10,W1451,refer,4
55.6376,W1451,44,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-9.313060524583563e-10,W1246,refer,4
55.7178,W1528,39,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,0.0417888291571143,W1523,automate,3
55.7515,W1246,43,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.2970259286033536e-09,W1467,refer,4
55.7649,W1523,38,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-2.7948963947684502e-05,W1453,refer,4
55.95379999999999,W1534,46,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,-0.11790647184019275,W1538,refer,3
55.95810000000002,W1538,45,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,0.0034577273707993373,W1250,automate,3
