scope,campus,cell,sigma_s,beta,wtag,n,mean_rule,mean_oracle,abs_gap,pct_gap,wins,ties,losses
campus,12,pmmix150_p20_c60,2.0,0.5,w16421,30,590.1009,590.1009,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,2.0,0.5,w27931,30,1011.4772,1011.4772,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,2.0,0.75,w8421,30,337.5970,337.5970,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,2.0,0.75,w16421,30,563.1484,563.1484,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,2.0,0.75,w27931,30,968.9882,968.9882,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,2.0,1.0,w8421,30,282.3495,282.3495,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,2.0,1.0,w16421,30,443.7206,443.7206,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,2.0,1.0,w27931,30,759.1315,759.1315,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,1.0,0.5,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,1.0,0.5,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,1.0,0.5,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,1.0,0.75,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,1.0,0.75,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,1.0,0.75,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,1.0,1.0,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,1.0,1.0,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,1.0,1.0,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,2.0,0.5,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,2.0,0.5,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,2.0,0.5,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,2.0,0.75,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,2.0,0.75,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,2.0,0.75,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,2.0,1.0,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,2.0,1.0,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a300_c80,2.0,1.0,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
