scope,campus,cell,rule,beta,n,mean_rule,mean_oracle,abs_gap,pct_gap,oracle_wins,ties,oracle_losses,util_pooled,util_worst,incomplete_at_horizon,mean_nlate_rule
pooled_loaded,9+12,pmmix_p20_c60,edd,0.25,60,1097.5910,1094.7719,2.8191,0.2568,9,49,2,0.5249,0.9373,48.85,-1.00
pooled_loaded,9+12,pmmix_p20_c100,edd,0.25,60,1126.8654,1126.8654,0.0000,0.0000,0,60,0,0.3166,0.5636,47.08,-1.00
pooled_loaded,9+12,pmmix_p50_c60,edd,0.25,60,668.3665,668.1395,0.2270,0.0340,3,57,0,0.5300,0.9045,49.70,-1.00
pooled_loaded,9+12,pmmix_p50_c100,edd,0.25,60,646.8373,646.8373,0.0000,0.0000,0,60,0,0.3197,0.5475,48.12,-1.00
pooled_loaded,9+12,pmmix_p80_c60,edd,0.25,60,357.1260,356.8009,0.3252,0.0911,4,55,1,0.5360,0.9131,49.92,-1.00
pooled_loaded,9+12,pmmix_p80_c100,edd,0.25,60,368.0733,368.0733,0.0000,0.0000,0,60,0,0.3233,0.5436,48.78,-1.00
pooled_loaded,9+12,gen400_default,edd,0.25,80,845.0555,845.0555,0.0000,0.0000,0,80,0,0.3207,0.5697,46.06,-1.00
pooled_loaded,9+12,pmmix_c60_poolpm,edd,0.25,180,707.6945,706.5708,1.1237,0.1588,16,161,3,0.5303,0.9183,49.49,-1.00
pooled_loaded,9+12,pmmix_c100_poolpm,edd,0.25,180,713.9253,713.9253,0.0000,0.0000,0,180,0,0.3198,0.5515,47.99,-1.00
pooled_all,5+9+10+12,pmmix_c60_poolpm,edd,0.25,360,422.4828,417.8399,4.6429,1.0990,31,325,4,0.3956,0.7193,35.99,-1.00
pooled_all,5+9+10+12,pmmix_c100_poolpm,edd,0.25,360,411.8576,411.8450,0.0126,0.0031,1,359,0,0.2374,0.4208,34.35,-1.00
campus,9,pmmix_p20_c60,edd,0.5,30,882.8461,881.8175,1.0286,0.1165,2,28,0,0.2717,0.4528,17.50,-1.00
campus,9,pmmix_p20_c100,edd,0.5,30,803.4211,803.4211,0.0000,0.0000,0,30,0,0.1647,0.2732,17.37,-1.00
campus,9,pmmix_p50_c60,edd,0.5,30,452.5732,452.5732,0.0000,0.0000,0,30,0,0.2711,0.4269,18.87,-1.00
campus,9,pmmix_p50_c100,edd,0.5,30,424.0056,424.0056,0.0000,0.0000,0,30,0,0.1643,0.2651,18.83,-1.00
campus,9,pmmix_p80_c60,edd,0.5,30,275.0132,275.0790,-0.0658,-0.0239,0,29,1,0.2777,0.4515,19.50,-1.00
