campus,track,cell,rule,beta,inst_id,n_wo,n_crew,window_bh,util_pooled,util_worst,worst_trade,incomplete_at_horizon,makespan,twt_rule,twt_oracle,nlate_rule,nlate_oracle
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0013,400,60,87.4961,0.2730,0.3917,D50,17,114.6882,717.0616,717.0616,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0013,400,60,87.4961,0.2730,0.3917,D50,17,114.6882,775.8600,775.8600,20,20
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0013,400,60,87.4961,0.2730,0.3917,D50,17,114.6882,775.8600,775.8600,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0013,400,60,87.4961,0.2730,0.3917,D50,17,114.6882,696.7408,696.7408,20,20
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0013,400,60,87.4961,0.2730,0.3917,D50,17,114.6882,696.7408,696.7408,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0014,400,60,88.4710,0.2717,0.4210,D40,19,112.2478,763.2720,763.2720,15,15
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0014,400,60,88.4710,0.2717,0.4210,D40,19,112.2478,763.2720,763.2720,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0014,400,60,88.4710,0.2717,0.4210,D40,19,112.2478,763.2720,763.2720,15,15
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0014,400,60,88.4710,0.2717,0.4210,D40,19,112.2478,763.2720,763.2720,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0014,400,60,88.4710,0.2717,0.4210,D40,19,112.2478,903.1500,903.1500,16,16
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0014,400,60,88.4710,0.2717,0.4210,D40,19,112.2478,903.1500,903.1500,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0015,400,60,83.6494,0.2663,0.4536,D20,12,103.9079,638.7592,638.7592,10,10
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0015,400,60,83.6494,0.2663,0.4536,D20,12,103.9079,638.7592,638.7592,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0015,400,60,83.6494,0.2663,0.4536,D20,12,103.9079,652.6672,652.6672,11,11
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0015,400,60,83.6494,0.2663,0.4536,D20,12,103.9079,652.6672,652.6672,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0015,400,60,83.6494,0.2663,0.4536,D20,12,103.9079,920.0376,920.0376,14,14
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0015,400,60,83.6494,0.2663,0.4536,D20,12,103.9079,920.0376,920.0376,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0016,400,60,87.3818,0.2773,0.4615,MISC,21,135.6791,994.0896,994.0896,20,20
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0016,400,60,87.3818,0.2773,0.4615,MISC,21,135.6791,994.0896,994.0896,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0016,400,60,87.3818,0.2773,0.4615,MISC,21,135.6791,1103.3304,1103.3304,23,23
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0016,400,60,87.3818,0.2773,0.4615,MISC,21,135.6791,1103.3304,1103.3304,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0016,400,60,87.3818,0.2773,0.4615,MISC,21,135.6791,1073.5696,1067.0912,23,23
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0016,400,60,87.3818,0.2773,0.4615,MISC,21,135.6791,1073.5696,1067.0912,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0017,400,60,89.4131,0.2402,0.3559,D20,16,113.8899,1142.6312,1142.6312,16,16
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0017,400,60,89.4131,0.2402,0.3559,D20,16,113.8899,1142.6312,1142.6312,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0017,400,60,89.4131,0.2402,0.3559,D20,16,113.8899,1249.2472,1249.2472,18,18
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0017,400,60,89.4131,0.2402,0.3559,D20,16,113.8899,1249.2472,1249.2472,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0017,400,60,89.4131,0.2402,0.3559,D20,16,113.8899,957.0316,957.0316,17,17
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0017,400,60,89.4131,0.2402,0.3559,D20,16,113.8899,957.0316,957.0316,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0018,400,60,84.8541,0.2790,0.5320,C30,18,110.2262,984.1976,984.1976,16,16
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0018,400,60,84.8541,0.2790,0.5320,C30,18,110.2262,984.1976,984.1976,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0018,400,60,84.8541,0.2790,0.5320,C30,18,110.2262,984.1976,984.1976,16,16
