campus,size,arrival,rule,beta,inst_id,twt_rule,twt_oracle,twt_rule_wonly,twt_oracle_wonly,n_shift,feasible,util_pooled,util_worst,worst_trade,window_bh,makespan,incomplete_at_window,n_wos
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0025,93.5056,93.5056,93.5056,93.5056,95,1,0.2541,0.5389,C30,24.484,54.172,19,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0025,93.5056,93.5056,,,95,1,0.2541,0.5389,C30,24.484,54.172,19,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0025,93.5056,93.5056,93.5056,93.5056,97,1,0.2541,0.5389,C30,24.484,54.172,19,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0025,93.5056,93.5056,,,97,1,0.2541,0.5389,C30,24.484,54.172,19,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0025,0.0000,0.0000,46.7528,46.7528,76,1,0.2541,0.5389,C30,24.484,54.172,19,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0025,0.0000,0.0000,,,76,1,0.2541,0.5389,C30,24.484,54.172,19,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0026,0.0000,0.0000,0.0000,0.0000,98,1,0.1985,0.3127,D20,28.347,53.466,14,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0026,0.0000,0.0000,,,98,1,0.1985,0.3127,D20,28.347,53.466,14,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0026,0.0000,0.0000,0.0000,0.0000,99,1,0.1985,0.3127,D20,28.347,53.466,14,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0026,0.0000,0.0000,,,99,1,0.1985,0.3127,D20,28.347,53.466,14,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0026,0.0000,0.0000,0.0000,0.0000,80,1,0.1985,0.3127,D20,28.347,53.466,14,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0026,0.0000,0.0000,,,80,1,0.1985,0.3127,D20,28.347,53.466,14,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0027,126.4808,126.4808,139.4094,139.4094,89,1,0.2574,0.4327,D90,27.509,45.065,17,150
