scope,rule,u,beta,util_pool,util_worst,inc_atc_frac,inc_atc,n_wos,n,mean_rule,mean_oracle,pct_headroom,wins,ties,losses
c9,atc,130,0.75,1.3100,1.7469,0.3065,910.5833,2967.6667,12,14046.1100,2489.0005,82.2798,12,0,0
c9,edd,130,0.75,1.3100,1.7469,0.3065,910.5833,2967.6667,12,15681.1586,2489.0005,84.1274,12,0,0
c9,atc,130,1.0,1.3100,1.7469,0.3065,910.5833,2967.6667,12,18281.9160,2522.6810,86.2012,12,0,0
c9,edd,130,1.0,1.3100,1.7469,0.3065,910.5833,2967.6667,12,21003.3644,2522.6810,87.9892,12,0,0
c12,atc,70,0.25,0.6936,0.9515,0.0670,129.6667,1935.3333,12,8059.1062,8053.5222,0.0693,3,4,5
c12,edd,70,0.25,0.6936,0.9515,0.0670,129.6667,1935.3333,12,8048.1263,8053.5222,-0.0670,3,3,6
c12,atc,70,0.5,0.6936,0.9515,0.0670,129.6667,1935.3333,12,8306.2625,8302.9150,0.0403,1,4,7
c12,edd,70,0.5,0.6936,0.9515,0.0670,129.6667,1935.3333,12,8297.3572,8302.9150,-0.0670,2,3,7
c12,atc,70,0.75,0.6936,0.9515,0.0670,129.6667,1935.3333,12,8542.6072,8538.2630,0.0509,2,3,7
c12,edd,70,0.75,0.6936,0.9515,0.0670,129.6667,1935.3333,12,8531.1485,8538.2630,-0.0834,3,3,6
c12,atc,70,1.0,0.6936,0.9515,0.0670,129.6667,1935.3333,12,8180.7136,8199.6914,-0.2320,0,4,8
c12,edd,70,1.0,0.6936,0.9515,0.0670,129.6667,1935.3333,12,8174.4121,8199.6914,-0.3092,0,4,8
c12,atc,90,0.25,0.8953,1.2115,0.0851,211.0000,2478.5000,12,10528.5160,10342.8528,1.7634,11,0,1
c12,edd,90,0.25,0.8953,1.2115,0.0851,211.0000,2478.5000,12,10468.7004,10342.8528,1.2021,8,0,4
c12,atc,90,0.5,0.8953,1.2115,0.0851,211.0000,2478.5000,12,10948.8512,10879.7094,0.6315,9,0,3
c12,edd,90,0.5,0.8953,1.2115,0.0851,211.0000,2478.5000,12,10922.5369,10879.7094,0.3921,6,0,6
c12,atc,90,0.75,0.8953,1.2115,0.0851,211.0000,2478.5000,12,11076.3016,11073.4376,0.0259,6,0,6
c12,edd,90,0.75,0.8953,1.2115,0.0851,211.0000,2478.5000,12,11073.0507,11073.4376,-0.0035,5,0,7
c12,atc,90,1.0,0.8953,1.2115,0.0851,211.0000,2478.5000,12,10878.1341,10928.2456,-0.4607,3,0,9
c12,edd,90,1.0,0.8953,1.2115,0.0851,211.0000,2478.5000,12,10869.0256,10928.2456,-0.5449,5,0,7
c12,atc,100,0.25,0.9975,1.3509,0.1001,275.8333,2748.9167,12,12714.8013,12313.1642,3.1588,10,0,2
c12,edd,100,0.25,0.9975,1.3509,0.1001,275.8333,2748.9167,12,13018.8000,12313.1642,5.4201,11,0,1
c12,atc,100,0.5,0.9975,1.3509,0.1001,275.8333,2748.9167,12,12596.0779,12310.4037,2.2680,10,0,2
c12,edd,100,0.5,0.9975,1.3509,0.1001,275.8333,2748.9167,12,12999.1354,12310.4037,5.2983,11,0,1
c12,atc,100,0.75,0.9975,1.3509,0.1001,275.8333,2748.9167,12,12751.0997,12620.0446,1.0278,7,0,5
c12,edd,100,0.75,0.9975,1.3509,0.1001,275.8333,2748.9167,12,13233.4401,12620.0446,4.6352,9,0,3
c12,atc,100,1.0,0.9975,1.3509,0.1001,275.8333,2748.9167,12,12661.8499,12610.1365,0.4084,6,0,6
c12,edd,100,1.0,0.9975,1.3509,0.1001,275.8333,2748.9167,12,13161.1690,12610.1365,4.1868,7,0,5
c12,atc,110,0.25,1.0860,1.4274,0.1262,382.2500,3027.4167,12,15441.0625,14042.2167,9.0593,12,0,0
c12,edd,110,0.25,1.0860,1.4274,0.1262,382.2500,3027.4167,12,15997.7866,14042.2167,12.2240,12,0,0
c12,atc,110,0.5,1.0860,1.4274,0.1262,382.2500,3027.4167,12,15738.1485,14441.7677,8.2372,12,0,0
c12,edd,110,0.5,1.0860,1.4274,0.1262,382.2500,3027.4167,12,16441.0829,14441.7677,12.1605,12,0,0
c12,atc,110,0.75,1.0860,1.4274,0.1262,382.2500,3027.4167,12,16043.3386,14757.0588,8.0175,11,0,1
c12,edd,110,0.75,1.0860,1.4274,0.1262,382.2500,3027.4167,12,16936.1231,14757.0588,12.8664,12,0,0
c12,atc,110,1.0,1.0860,1.4274,0.1262,382.2500,3027.4167,12,15440.2468,14329.2249,7.1956,11,0,1
c12,edd,110,1.0,1.0860,1.4274,0.1262,382.2500,3027.4167,12,16431.2319,14329.2249,12.7928,12,0,0
c12,atc,130,0.25,1.3210,1.7892,0.2231,806.0000,3606.8333,12,24348.2811,17455.7260,28.3082,12,0,0
c12,edd,130,0.25,1.3210,1.7892,0.2231,806.0000,3606.8333,12,27011.6392,17455.7260,35.3770,12,0,0
c12,atc,130,0.5,1.3210,1.7892,0.2231,806.0000,3606.8333,12,25192.5031,18195.3688,27.7747,12,0,0
