campus,u,beta,inst_id,n_wos,util_pool,util_worst,inc_atc,inc_atc_frac,makespan_atc,twt_atc,twt_edd,twt_oracle,feas_atc,feas_edd,feas_oracle
5,130,0.25,c05_storm2_w80_u130_0003,4243,1.3541264655172416,1.8741991666666662,1324,0.3120433655432477,153.23670000000004,24020.22359999999,25576.146199999985,1282.4196000000002,True,True,True
5,130,0.5,c05_storm2_w80_u130_0003,4243,1.3541264655172416,1.8741991666666662,1324,0.3120433655432477,153.23670000000004,28075.10059999999,30071.680799999984,1617.8687999999993,True,True,True
5,130,0.75,c05_storm2_w80_u130_0003,4243,1.3541264655172416,1.8741991666666662,1324,0.3120433655432477,153.23670000000004,32364.714399999983,35194.028399999974,2100.4582,True,True,True
5,130,1.0,c05_storm2_w80_u130_0003,4243,1.3541264655172416,1.8741991666666662,1324,0.3120433655432477,153.23670000000004,41424.389200000005,45455.80899999999,3089.555999999999,True,True,True
5,130,0.25,c05_storm2_w80_u130_0004,4179,1.333231562500001,2.3101168750000007,1347,0.3223259152907394,187.70780000000002,28315.524199999985,30746.248999999985,1753.3658000000014,True,True,True
5,130,0.5,c05_storm2_w80_u130_0004,4179,1.333231562500001,2.3101168750000007,1347,0.3223259152907394,187.70780000000002,35937.85939999997,38769.1732,2506.686,True,True,True
5,130,0.75,c05_storm2_w80_u130_0004,4179,1.333231562500001,2.3101168750000007,1347,0.3223259152907394,187.70780000000002,41888.182799999995,44795.37699999997,3248.9505999999983,True,True,True
5,130,1.0,c05_storm2_w80_u130_0004,4179,1.333231562500001,2.3101168750000007,1347,0.3223259152907394,187.70780000000002,49090.412399999994,53176.59539999996,5969.552799999999,True,True,True
5,130,0.25,c05_storm2_w80_u130_0005,4301,1.3166371228448275,1.9894495833333337,1161,0.2699372239014183,161.92049999999998,26093.055399999987,28354.406199999983,1198.3975999999996,True,True,True
5,130,0.5,c05_storm2_w80_u130_0005,4301,1.3166371228448275,1.9894495833333337,1161,0.2699372239014183,161.92049999999998,29914.606999999985,33453.40499999999,1088.5245999999997,True,True,True
5,130,0.75,c05_storm2_w80_u130_0005,4301,1.3166371228448275,1.9894495833333337,1161,0.2699372239014183,161.92049999999998,34837.89739999999,39228.1222,1630.8515999999995,True,True,True
5,130,1.0,c05_storm2_w80_u130_0005,4301,1.3166371228448275,1.9894495833333337,1161,0.2699372239014183,161.92049999999998,41307.03459999997,47070.73059999999,2561.2555999999995,True,True,True
5,130,0.25,c05_storm2_w80_u130_0006,4306,1.2747667780172405,2.0980104166666655,1201,0.2789131444496052,169.36709999999997,34557.51840000001,39082.47939999997,1850.4633999999999,True,True,True
5,130,0.5,c05_storm2_w80_u130_0006,4306,1.2747667780172405,2.0980104166666655,1201,0.2789131444496052,169.36709999999997,37938.05899999999,43489.80759999997,2492.823399999999,True,True,True
5,130,0.75,c05_storm2_w80_u130_0006,4306,1.2747667780172405,2.0980104166666655,1201,0.2789131444496052,169.36709999999997,38684.11379999998,44506.75519999996,3049.6676,True,True,True
5,130,1.0,c05_storm2_w80_u130_0006,4306,1.2747667780172405,2.0980104166666655,1201,0.2789131444496052,169.36709999999997,43108.99999999998,48681.84039999998,4574.682000000002,True,True,True
5,130,0.25,c05_storm2_w80_u130_0007,4261,1.2604567456896545,2.0634204166666685,1151,0.27012438394743016,166.50710000000007,27417.3152,29161.623399999997,945.7651999999999,True,True,True
5,130,0.5,c05_storm2_w80_u130_0007,4261,1.2604567456896545,2.0634204166666685,1151,0.27012438394743016,166.50710000000007,33186.79759999999,35087.907999999996,1364.104,True,True,True
5,130,0.75,c05_storm2_w80_u130_0007,4261,1.2604567456896545,2.0634204166666685,1151,0.27012438394743016,166.50710000000007,36907.731999999996,38456.479599999984,1743.1712,True,True,True
5,130,1.0,c05_storm2_w80_u130_0007,4261,1.2604567456896545,2.0634204166666685,1151,0.27012438394743016,166.50710000000007,44156.6274,45473.651999999965,2639.347,True,True,True
5,130,0.25,c05_storm2_w80_u130_0008,4376,1.385639838362069,1.944217916666665,1375,0.31421389396709326,172.6695,27455.347399999988,27788.468399999998,1176.3467999999993,True,True,True
5,130,0.5,c05_storm2_w80_u130_0008,4376,1.385639838362069,1.944217916666665,1375,0.31421389396709326,172.6695,30946.65259999997,31493.011799999993,1270.949199999999,True,True,True
5,130,0.75,c05_storm2_w80_u130_0008,4376,1.385639838362069,1.944217916666665,1375,0.31421389396709326,172.6695,36761.56559999999,37606.950200000014,1959.0419999999983,True,True,True
5,130,1.0,c05_storm2_w80_u130_0008,4376,1.385639838362069,1.944217916666665,1375,0.31421389396709326,172.6695,42164.808199999985,43450.36239999998,1579.7511999999992,True,True,True
5,130,0.25,c05_storm2_w80_u130_0009,4239,1.2755189008620702,1.8664379166666658,1165,0.274828969096485,150.50450000000006,17262.367600000012,18518.383600000005,875.1904,True,True,True
5,130,0.5,c05_storm2_w80_u130_0009,4239,1.2755189008620702,1.8664379166666658,1165,0.274828969096485,150.50450000000006,18996.6146,20896.66320000001,1134.1740000000004,True,True,True
5,130,0.75,c05_storm2_w80_u130_0009,4239,1.2755189008620702,1.8664379166666658,1165,0.274828969096485,150.50450000000006,22238.4264,24551.4108,1525.8960000000006,True,True,True
5,130,1.0,c05_storm2_w80_u130_0009,4239,1.2755189008620702,1.8664379166666658,1165,0.274828969096485,150.50450000000006,25857.54060000001,28762.205599999994,1904.2012000000002,True,True,True
5,130,0.25,c05_storm2_w80_u130_0010,4331,1.3099606034482758,2.2547737500000022,1208,0.2789194181482337,181.7013,30566.61399999998,33739.5209,802.5476000000002,True,True,True
5,130,0.5,c05_storm2_w80_u130_0010,4331,1.3099606034482758,2.2547737500000022,1208,0.2789194181482337,181.7013,33212.47519999998,37002.237100000006,1027.6637999999991,True,True,True
5,130,0.75,c05_storm2_w80_u130_0010,4331,1.3099606034482758,2.2547737500000022,1208,0.2789194181482337,181.7013,35950.64459999999,40209.8001,1397.4636,True,True,True
5,130,1.0,c05_storm2_w80_u130_0010,4331,1.3099606034482758,2.2547737500000022,1208,0.2789194181482337,181.7013,38715.369999999995,43882.303100000005,2649.0115999999994,True,True,True
5,130,0.25,c05_storm2_w80_u130_0011,4150,1.2795121551724145,2.079552916666666,1253,0.3019277108433735,167.38400000000001,27523.912599999956,29331.647199999978,1418.8863999999999,True,True,True
