cell,decider,seed,true_class,n_orders,n_attained,attain_pct,twt_per_inst
c9_storm2_u100_b1.00_r0.25,m1_alone,301,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,301,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,302,1,1750,1482,84.68571428571428,1616.3958400000004
c9_storm2_u100_b1.00_r0.25,m1_alone,302,2,5436,5196,95.58498896247241,659.4681200000003
c9_storm2_u100_b1.00_r0.25,m1_alone,302,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,302,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,303,1,1750,1481,84.62857142857143,1614.0824000000005
c9_storm2_u100_b1.00_r0.25,m1_alone,303,2,5436,5197,95.60338484179543,683.6154000000002
c9_storm2_u100_b1.00_r0.25,m1_alone,303,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,303,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,304,1,1750,1481,84.62857142857143,1623.45368
c9_storm2_u100_b1.00_r0.25,m1_alone,304,2,5436,5195,95.56659308314937,669.16992
c9_storm2_u100_b1.00_r0.25,m1_alone,304,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,304,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,305,1,1750,1479,84.51428571428572,1635.3404799999998
c9_storm2_u100_b1.00_r0.25,m1_alone,305,2,5436,5184,95.36423841059603,697.83812
c9_storm2_u100_b1.00_r0.25,m1_alone,305,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,305,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,306,1,1750,1477,84.4,1617.0875199999998
c9_storm2_u100_b1.00_r0.25,m1_alone,306,2,5436,5226,96.13686534216336,559.5897600000003
c9_storm2_u100_b1.00_r0.25,m1_alone,306,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,306,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,307,1,1750,1482,84.68571428571428,1608.2612
c9_storm2_u100_b1.00_r0.25,m1_alone,307,2,5436,5197,95.60338484179543,586.1782400000002
c9_storm2_u100_b1.00_r0.25,m1_alone,307,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,307,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,308,1,1750,1481,84.62857142857143,1620.2196
c9_storm2_u100_b1.00_r0.25,m1_alone,308,2,5436,5192,95.51140544518027,644.52392
c9_storm2_u100_b1.00_r0.25,m1_alone,308,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,308,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,309,1,1750,1475,84.28571428571429,1635.0823999999998
c9_storm2_u100_b1.00_r0.25,m1_alone,309,2,5436,5198,95.62178072111847,655.6872799999999
c9_storm2_u100_b1.00_r0.25,m1_alone,309,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,309,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,310,1,1750,1479,84.51428571428572,1616.39992
c9_storm2_u100_b1.00_r0.25,m1_alone,310,2,5436,5193,95.52980132450331,637.0536800000002
c9_storm2_u100_b1.00_r0.25,m1_alone,310,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,310,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,301,1,1750,1479,84.51428571428572,1609.47296
c9_storm2_u100_b1.00_r0.25,oracle,301,2,5436,5382,99.00662251655629,205.54572
c9_storm2_u100_b1.00_r0.25,oracle,301,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,301,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,302,1,1750,1479,84.51428571428572,1609.47296
c9_storm2_u100_b1.00_r0.25,oracle,302,2,5436,5382,99.00662251655629,205.54572
c9_storm2_u100_b1.00_r0.25,oracle,302,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,302,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,303,1,1750,1479,84.51428571428572,1609.47296
c9_storm2_u100_b1.00_r0.25,oracle,303,2,5436,5382,99.00662251655629,205.54572
c9_storm2_u100_b1.00_r0.25,oracle,303,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,303,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,304,1,1750,1479,84.51428571428572,1609.47296
c9_storm2_u100_b1.00_r0.25,oracle,304,2,5436,5382,99.00662251655629,205.54572
c9_storm2_u100_b1.00_r0.25,oracle,304,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,304,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,305,1,1750,1479,84.51428571428572,1609.47296
c9_storm2_u100_b1.00_r0.25,oracle,305,2,5436,5382,99.00662251655629,205.54572
c9_storm2_u100_b1.00_r0.25,oracle,305,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,305,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,306,1,1750,1479,84.51428571428572,1609.47296
c9_storm2_u100_b1.00_r0.25,oracle,306,2,5436,5382,99.00662251655629,205.54572
c9_storm2_u100_b1.00_r0.25,oracle,306,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,306,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,307,1,1750,1479,84.51428571428572,1609.47296
c9_storm2_u100_b1.00_r0.25,oracle,307,2,5436,5382,99.00662251655629,205.54572
c9_storm2_u100_b1.00_r0.25,oracle,307,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,307,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,308,1,1750,1479,84.51428571428572,1609.47296
c9_storm2_u100_b1.00_r0.25,oracle,308,2,5436,5382,99.00662251655629,205.54572
c9_storm2_u100_b1.00_r0.25,oracle,308,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,308,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,309,1,1750,1479,84.51428571428572,1609.47296
c9_storm2_u100_b1.00_r0.25,oracle,309,2,5436,5382,99.00662251655629,205.54572
c9_storm2_u100_b1.00_r0.25,oracle,309,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,309,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,310,1,1750,1479,84.51428571428572,1609.47296
c9_storm2_u100_b1.00_r0.25,oracle,310,2,5436,5382,99.00662251655629,205.54572
c9_storm2_u100_b1.00_r0.25,oracle,310,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,310,4,11715,11715,100.0,0.0
c9_storm2_u90_b1.00_r0.25,rule,301,1,1510,1286,85.16556291390728,1172.21992
c9_storm2_u90_b1.00_r0.25,rule,301,2,4740,4586,96.75105485232068,579.78252
c9_storm2_u90_b1.00_r0.25,rule,301,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,rule,301,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,rule,302,1,1510,1286,85.16556291390728,1172.21992
c9_storm2_u90_b1.00_r0.25,rule,302,2,4740,4586,96.75105485232068,579.78252
c9_storm2_u90_b1.00_r0.25,rule,302,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,rule,302,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,rule,303,1,1510,1286,85.16556291390728,1172.21992
c9_storm2_u90_b1.00_r0.25,rule,303,2,4740,4586,96.75105485232068,579.78252
c9_storm2_u90_b1.00_r0.25,rule,303,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,rule,303,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,301,1,1510,1283,84.96688741721854,1172.0038399999999
c9_storm2_u90_b1.00_r0.25,rule_sup,301,2,4740,4622,97.51054852320675,446.88828
c9_storm2_u90_b1.00_r0.25,rule_sup,301,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,301,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,302,1,1510,1283,84.96688741721854,1172.0038399999999
c9_storm2_u90_b1.00_r0.25,rule_sup,302,2,4740,4622,97.51054852320675,446.88828
c9_storm2_u90_b1.00_r0.25,rule_sup,302,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,302,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,303,1,1510,1283,84.96688741721854,1172.0038399999999
c9_storm2_u90_b1.00_r0.25,rule_sup,303,2,4740,4622,97.51054852320675,446.88828
c9_storm2_u90_b1.00_r0.25,rule_sup,303,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,303,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,301,1,1510,1287,85.23178807947019,1157.87088
c9_storm2_u90_b1.00_r0.25,m0_alone,301,2,4740,4672,98.56540084388186,285.77416000000005
c9_storm2_u90_b1.00_r0.25,m0_alone,301,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,301,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,302,1,1510,1289,85.36423841059603,1156.3898400000003
c9_storm2_u90_b1.00_r0.25,m0_alone,302,2,4740,4679,98.71308016877637,269.59548
c9_storm2_u90_b1.00_r0.25,m0_alone,302,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,302,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,303,1,1510,1289,85.36423841059603,1154.1747999999998
c9_storm2_u90_b1.00_r0.25,m0_alone,303,2,4740,4672,98.56540084388186,271.8668
c9_storm2_u90_b1.00_r0.25,m0_alone,303,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,303,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_sup,301,1,1510,1290,85.43046357615894,1158.4322400000003
c9_storm2_u90_b1.00_r0.25,m0_sup,301,2,4740,4676,98.64978902953587,273.53244
c9_storm2_u90_b1.00_r0.25,m0_sup,301,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_sup,301,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_sup,302,1,1510,1290,85.43046357615894,1157.71656
c9_storm2_u90_b1.00_r0.25,m0_sup,302,2,4740,4681,98.75527426160338,263.457
c9_storm2_u90_b1.00_r0.25,m0_sup,302,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_sup,302,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_sup,303,1,1510,1288,85.29801324503312,1152.12048
c9_storm2_u90_b1.00_r0.25,m0_sup,303,2,4740,4682,98.77637130801688,260.11064
c9_storm2_u90_b1.00_r0.25,m0_sup,303,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_sup,303,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m1_alone,301,1,1510,1286,85.16556291390728,1172.07408
c9_storm2_u90_b1.00_r0.25,m1_alone,301,2,4740,4683,98.79746835443038,268.8958799999999
c9_storm2_u90_b1.00_r0.25,m1_alone,301,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m1_alone,301,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m1_alone,302,1,1510,1286,85.16556291390728,1206.3589600000003
c9_storm2_u90_b1.00_r0.25,m1_alone,302,2,4740,4682,98.77637130801688,269.17828
c9_storm2_u90_b1.00_r0.25,m1_alone,302,3,3493,3493,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m1_alone,302,4,10516,10516,100.0,0.0
c9_storm2_u90_b1.00_r0.25,m1_alone,303,1,1510,1288,85.29801324503312,1173.52504
c9_storm2_u90_b1.00_r0.25,m1_alone,303,2,4740,4683,98.79746835443038,274.81548
