source,campus,crew_m,beta,inst_id,pooled_u,worst_u,incomplete,rec_atc,or_atc,pred_atc,rec_port,true_port,pred_port,rec_ga,true_ga,pred_ga,rulesup,rev_frac,or_rate
replay,9,0.25,0.0,c09_replay_400_0022,1.3195086242186103,3.9087314445948147,112,3643.8352000000004,3043.0136000000007,3643.8352000000004,3540.5052000000005,3043.0136000000007,3540.5052000000005,3246.7099,2261.3258,3246.7099,3370.4908000000005,0.2484472049689441,0.1
replay,9,0.25,0.25,c09_replay_400_0022,1.3195086242186103,3.9087314445948147,112,5121.368800000001,4585.0968,5024.2080000000005,5001.8756,4585.0968,4908.809200000001,3621.0464999999995,2672.4119,3463.7298,4730.363600000001,0.2453416149068323,0.06329113924050633
replay,9,0.25,0.5,c09_replay_400_0022,1.3195086242186103,3.9087314445948147,112,5632.028,5036.5452000000005,5344.5376000000015,5448.4052,5036.5452000000005,5344.5376000000015,3942.2128999999995,2747.7139999999995,3296.0458999999996,5128.924400000001,0.2484472049689441,0.05
replay,9,0.25,1.0,c09_replay_400_0022,1.3195086242186103,3.9087314445948147,112,6874.350399999999,5917.412000000001,5917.412000000001,6118.278800000001,5917.412000000001,5917.412000000001,4427.396500000001,2927.7656999999995,2927.7656999999995,5928.095200000002,0.2484472049689441,0.125
replay,9,0.25,0.0,c09_replay_400_0023,1.4310825892857142,2.755859375,133,1820.8000000000002,260.2,1820.8000000000002,1740.4668000000001,260.2,1740.4668000000001,2340.2331999999997,209.46680000000003,2340.2331999999997,792.2668,0.2430939226519337,0.14772727272727273
replay,9,0.25,0.25,c09_replay_400_0023,1.4310825892857142,2.755859375,133,1804.0,649.2,1678.2664,1804.0,649.2,1626.4,1832.1342,638.6004,1748.7664,1300.0,0.24585635359116023,0.12359550561797752
replay,9,0.25,0.5,c09_replay_400_0023,1.4310825892857142,2.755859375,133,2069.0,738.0,1099.5332,2069.0,738.0,1099.5332,2019.6009999999999,725.0,1295.9998,1433.0,0.24585635359116023,0.12359550561797752
replay,9,0.25,1.0,c09_replay_400_0023,1.4310825892857142,2.755859375,133,2787.4,1307.4,1307.4,2750.6000000000004,1307.4,1307.4,2722.268,1255.4,1255.4,2300.3999999999996,0.24585635359116023,0.10112359550561797
replay,9,0.35,0.0,c09_replay_400_0000,0.043030817003240414,0.2250691918660274,111,2007.6960000000026,1647.6960000000008,2007.6960000000026,1822.6960000000026,1647.6960000000008,1822.6960000000026,1935.0960000000014,1627.2960000000012,1935.0960000000014,1798.6960000000026,0.23880597014925373,0.046875
replay,9,0.35,0.25,c09_replay_400_0000,0.043030817003240414,0.2250691918660274,111,2345.6256000000035,1851.6256000000017,2365.4920000000043,2071.4920000000043,1851.6256000000017,2061.6256000000035,2136.8256000000015,1578.566400000001,2465.7956000000013,2075.1256000000035,0.23880597014925373,0.046875
replay,9,0.35,0.5,c09_replay_400_0000,0.043030817003240414,0.2250691918660274,111,2481.355200000002,1998.3552000000018,2181.355200000002,2201.2216000000026,1998.3552000000018,2181.355200000002,2280.5552000000016,1696.2960000000012,2041.7626000000014,2210.855200000002,0.23880597014925373,0.046875
replay,9,0.35,1.0,c09_replay_400_0000,0.043030817003240414,0.2250691918660274,111,2183.584800000002,1953.3552000000018,1953.3552000000018,2144.9512000000027,1953.3552000000018,1953.3552000000018,2107.7848000000017,1662.2960000000012,1662.2960000000012,2001.8552000000018,0.23880597014925373,0.015625
replay,9,0.35,0.0,c09_replay_400_0001,0.7751736111111112,1.8303571428571428,58,510.9,388.9,510.9,502.9,373.5,502.9,502.9,373.5,502.9,444.9,0.24334600760456274,0.015625
replay,9,0.35,0.25,c09_replay_400_0001,0.7751736111111112,1.8303571428571428,58,937.8,853.8,877.8,920.6668,851.8,867.8,973.8667999999999,605.0,761.9,937.8,0.2509505703422053,0.0
replay,9,0.35,0.5,c09_replay_400_0001,0.7751736111111112,1.8303571428571428,58,908.8,803.1333999999999,875.1333999999999,902.2672,799.1333999999999,843.7334,944.8667999999999,390.0,485.8,908.8,0.2509505703422053,0.0
replay,9,0.35,1.0,c09_replay_400_0001,0.7751736111111112,1.8303571428571428,58,1492.6668,1416.6668,1416.6668,1468.2672,1402.6668,1402.6668,1971.9335999999998,757.0,757.0,1492.6668,0.2509505703422053,0.015151515151515152
replay,9,0.35,0.0,c09_replay_400_0002,0.8631032043279235,1.3985468164794008,31,551.7336,540.0008,551.7336,534.3340000000001,451.86639999999994,534.3340000000001,554.4004000000001,432.0000000000001,554.4004000000001,548.8000000000002,0.2507936507936508,0.06329113924050633
replay,9,0.35,0.25,c09_replay_400_0002,0.8631032043279235,1.3985468164794008,31,507.9336,415.6672,399.7336,485.40040000000005,369.7996,385.06640000000004,548.0668000000001,321.4,498.8,484.7336,0.2507936507936508,0.0759493670886076
replay,9,0.35,0.5,c09_replay_400_0002,0.8631032043279235,1.3985468164794008,31,567.0,451.2672,452.0004,508.06680000000006,414.06719999999996,438.1336,566.0668000000001,373.0,414.0,541.8000000000001,0.2507936507936508,0.10126582278481013
replay,9,0.35,1.0,c09_replay_400_0002,0.8631032043279235,1.3985468164794008,31,516.0,385.06720000000007,385.06720000000007,481.53360000000004,372.80000000000007,372.80000000000007,555.6000000000001,330.0,330.0,498.8,0.2507936507936508,0.0379746835443038
replay,9,0.35,0.0,c09_replay_400_0003,0.8815768518518519,2.3553625,87,932.6679999999999,901.5328,932.6679999999999,932.6679999999999,901.5328,932.6679999999999,722.934,549.0,722.934,937.2012,0.25,0.04
replay,9,0.35,0.25,c09_replay_400_0003,0.8815768518518519,2.3553625,87,1182.5339999999999,1131.8,1193.734,1182.5339999999999,1131.8,1193.734,683.2008,559.0,1027.0668,1143.0004,0.25,0.06666666666666667
replay,9,0.35,0.5,c09_replay_400_0003,0.8815768518518519,2.3553625,87,1425.5336,1310.1324,1374.7328,1425.5336,1310.1324,1374.7328,1005.4671999999999,800.9336000000001,1258.8004,1371.6004,0.25,0.05333333333333334
replay,9,0.35,1.0,c09_replay_400_0003,0.8815768518518519,2.3553625,87,1339.4632,1241.2628,1241.2628,1315.9922,1201.3922,1201.3922,1166.697,782.3634000000001,782.3634000000001,1263.5964,0.25,0.06666666666666667
replay,9,0.35,0.0,c09_replay_400_0004,1.7388481481481481,4.830516666666667,271,548.1336,56.1336,548.1336,522.4004,56.1336,522.4004,926.7332,52.0,926.7332,238.1336,0.24861878453038674,0.07777777777777778
replay,9,0.35,0.25,c09_replay_400_0004,1.7388481481481481,4.830516666666667,271,1066.6671999999999,152.6672,421.4004,631.4004,152.6672,421.4004,797.6,116.0,1238.966,391.6672,0.24861878453038674,0.1111111111111111
