cell,tag,campus,u,beta,rho,eps,seed,inst_id,rule,rule_sup,m0_alone,m0_sup,oracle,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0024,1943.420000,1499.359600,1563.698400,1309.831200,1285.333600,0.247631,0.061224,0.245449,0.058824
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0025,3707.412000,2500.523200,3192.912800,2261.500800,1896.992800,0.250422,0.112360,0.248175,0.065611
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0026,3150.937600,2109.815200,2497.930400,2006.278800,1851.407200,0.242049,0.099757,0.243658,0.072639
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0027,1808.482000,1479.807600,1490.309600,1356.982800,1322.403200,0.245092,0.056848,0.243533,0.033679
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0028,1488.968400,1362.670800,1433.919600,1316.132400,1174.773600,0.249207,0.050891,0.247631,0.028061
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0029,2294.863600,1370.337600,1990.220400,1177.526000,1059.860800,0.241265,0.075862,0.243902,0.063636
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0020,1473.651200,1454.358400,1532.595600,1375.071200,1177.979600,0.249253,0.059952,0.247466,0.053012
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0021,1519.953200,1430.714400,1485.992000,1340.990800,1348.460800,0.248820,0.059621,0.247978,0.040761
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0022,936.385600,926.554400,956.299200,911.519200,873.416000,0.249833,0.016043,0.249172,0.023936
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0023,4099.384400,3015.776000,3465.583200,2772.511200,2308.195200,0.244850,0.139423,0.249123,0.117371
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0024,1943.420000,1499.359600,1702.720400,1344.419600,1285.333600,0.247631,0.061224,0.249061,0.055276
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0025,3707.412000,2500.523200,3007.818400,2265.632000,1896.992800,0.250422,0.112360,0.250281,0.082960
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0026,3150.937600,2109.815200,2586.828800,2022.230000,1851.407200,0.242049,0.099757,0.240676,0.067797
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0027,1808.482000,1479.807600,1461.957600,1324.117600,1322.403200,0.245092,0.056848,0.247475,0.040816
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0028,1488.968400,1362.670800,1392.473600,1231.016800,1174.773600,0.249207,0.050891,0.246827,0.025707
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0029,2294.863600,1370.337600,1895.472400,1283.770000,1059.860800,0.241265,0.075862,0.245556,0.061086
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0020,1473.651200,1454.358400,1446.506400,1265.640400,1177.979600,0.249253,0.059952,0.246869,0.057971
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0021,1519.953200,1430.714400,1567.848400,1341.070000,1348.460800,0.248820,0.059621,0.246289,0.043836
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0022,936.385600,926.554400,948.315600,888.469600,873.416000,0.249833,0.016043,0.249504,0.026525
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0023,4099.384400,3015.776000,3187.039600,2689.454800,2308.195200,0.244850,0.139423,0.238990,0.095823
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0024,1943.420000,1499.359600,1608.628800,1279.193200,1285.333600,0.247631,0.061224,0.250315,0.040302
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0025,3707.412000,2500.523200,3258.392400,2294.061200,1896.992800,0.250422,0.112360,0.250000,0.078475
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0026,3150.937600,2109.815200,2393.960400,1962.699600,1851.407200,0.242049,0.099757,0.241176,0.046341
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0027,1808.482000,1479.807600,1520.147600,1317.396000,1322.403200,0.245092,0.056848,0.249370,0.035354
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0028,1488.968400,1362.670800,1368.139600,1216.564800,1174.773600,0.249207,0.050891,0.246377,0.023018
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0029,2294.863600,1370.337600,1916.138400,1238.619600,1059.860800,0.241265,0.075862,0.245429,0.056433
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0020,1473.651200,1454.358400,1326.208000,1236.944000,1177.979600,0.249253,0.059952,0.247613,0.055422
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0021,1519.953200,1430.714400,1501.739600,1338.940000,1348.460800,0.248820,0.059621,0.244774,0.022039
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0022,936.385600,926.554400,922.336000,887.217600,873.416000,0.249833,0.016043,0.249339,0.013263
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0023,4099.384400,3015.776000,3170.990400,2558.336000,2308.195200,0.244850,0.139423,0.249853,0.098592
