decider_channel,campus,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,m0_sup,rule_sup,oracle,m0_final_r,m0_final_orr
weight_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0028,2253,2083.722400,1856.699600,1774.326800,2021.848800,1316.495200,0.5363,0.0820
weight_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0029,2253,4540.255600,3997.635600,2157.952400,2328.602400,1226.778800,0.5363,0.0820
weight_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0020,2253,2113.920800,1880.333200,1838.374000,1974.308800,1660.290800,0.5020,0.0789
weight_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0021,2253,2468.501600,2318.796800,2281.497200,2425.110000,2178.691200,0.5020,0.0789
weight_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0022,2253,1216.011200,1105.145600,1026.358400,1099.216000,991.862400,0.5020,0.0789
weight_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0023,2253,5676.362400,4848.848800,3441.618800,4018.612400,2621.206400,0.5020,0.0789
weight_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0024,2253,4396.206800,4082.298800,2474.225600,2834.593600,1996.894800,0.5020,0.0789
weight_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0025,2253,6411.756400,5715.949200,4067.926000,4054.931600,2533.840800,0.5020,0.0789
weight_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0026,2253,5006.202000,4493.566000,3962.879200,4109.313600,1938.243600,0.5020,0.0789
weight_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0027,2253,2535.368000,2297.837200,1831.876400,2061.197200,1685.882800,0.5020,0.0789
weight_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0028,2253,2083.722400,1827.228800,1780.329200,2021.848800,1316.495200,0.5020,0.0789
weight_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0029,2253,4540.255600,3952.650400,1893.147200,2328.602400,1226.778800,0.5020,0.0789
weight_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0020,2253,2113.920800,1883.538000,1822.826000,1974.308800,1660.290800,0.4858,0.0745
weight_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0021,2253,2468.501600,2312.638800,2270.308800,2425.110000,2178.691200,0.4858,0.0745
weight_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0022,2253,1216.011200,1187.214400,1080.532000,1099.216000,991.862400,0.4858,0.0745
weight_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0023,2253,5676.362400,4833.041200,3366.648000,4018.612400,2621.206400,0.4858,0.0745
