campus,track,size,level,rule,beta,inst_id,twt_rule,twt_oracle
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0005,8.2728,8.2728
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0006,152.0008,152.0008
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0006,152.0008,152.0008
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0006,391.0008,391.0008
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0006,391.0008,391.0008
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0007,27.7088,27.7088
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0007,27.7088,27.7088
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0007,27.7088,27.7088
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0007,27.7088,27.7088
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0008,0.0000,0.0000
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0008,0.0000,0.0000
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0008,44.9800,44.9800
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0008,44.9800,44.9800
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0009,364.1664,364.1664
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0009,364.1664,364.1664
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0009,603.1664,603.1664
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0009,603.1664,603.1664
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0010,0.0000,0.0000
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0010,0.0000,0.0000
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0010,0.0000,0.0000
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0010,0.0000,0.0000
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0011,0.0000,0.0000
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0011,0.0000,0.0000
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0011,0.0000,0.0000
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0011,0.0000,0.0000
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0012,305.4576,305.4576
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0012,305.4576,305.4576
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0012,291.1136,291.1136
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0012,291.1136,291.1136
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0013,0.0000,0.0000
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0013,0.0000,0.0000
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0013,4.1988,4.1988
