campus,cell,beta,inst_id,nwo,st_true_optimal,sr_naive_optimal,sr_flow_status,wwt_naive,wwt_flow,feas_true,twt_true,twt_recorded,twt_rec_flow,twt_rec_atc,twt_rec_edd,twt_recorded_naive
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0008,150,True,True,FEASIBLE,283.04,283.04,True,218.5120,218.2848,218.5120,218.2848,218.2848,547.0038
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0009,150,True,True,FEASIBLE,129.3,129.3,True,40.9072,40.9072,40.9072,42.5696,42.5696,1203.1958
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0009,150,True,True,FEASIBLE,129.3,129.3,True,142.1384,142.1384,142.1384,143.7460,143.7460,731.5460
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0010,150,True,True,FEASIBLE,701.04,701.04,True,375.8640,375.7520,375.8640,375.7520,375.7520,657.8774
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0010,150,True,True,FEASIBLE,701.04,701.04,True,164.7472,164.6372,164.7472,164.6372,164.6372,201.2148
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0011,150,True,True,FEASIBLE,369.2,369.2,True,453.2392,452.9640,453.2392,452.9640,452.9640,506.3410
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0011,150,True,True,FEASIBLE,369.2,369.2,True,436.6344,436.4016,436.6344,436.4016,436.4016,436.6344
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0012,150,True,True,FEASIBLE,140.48,140.48,True,133.6780,133.5192,133.6780,133.5192,133.5192,546.2492
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0012,150,True,True,FEASIBLE,140.48,140.48,True,159.8180,159.5336,159.8180,159.5336,159.5336,1154.1088
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0013,150,True,True,FEASIBLE,49.52,49.52,True,183.5004,183.2904,183.5004,183.2904,183.2904,1558.8284
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0013,150,True,True,FEASIBLE,49.52,49.52,True,132.0244,131.7800,132.0244,131.7800,131.7800,1138.8098
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0014,150,True,True,FEASIBLE,237.12,237.12,True,222.8456,222.6736,222.8456,222.6736,222.6736,854.8374
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0014,150,True,True,FEASIBLE,237.12,237.12,True,77.7320,77.5828,77.7320,77.5828,77.5828,325.0770
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0015,150,True,True,FEASIBLE,513.12,513.12,True,587.9108,587.6960,587.9108,587.6960,587.6960,988.0566
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0015,150,True,True,FEASIBLE,513.12,513.12,True,249.7008,249.5456,249.7008,249.5456,249.5456,331.2646
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0016,150,True,True,FEASIBLE,610.56,610.56,True,130.1328,130.0096,130.1328,130.0096,130.0096,264.4770
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0016,150,True,True,FEASIBLE,610.56,610.56,True,260.8328,260.6056,260.8328,260.6056,260.6056,260.8328
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0017,150,True,True,FEASIBLE,344.24,344.24,True,220.7196,220.5592,220.7196,220.5592,220.5592,1137.7234
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0017,150,True,True,FEASIBLE,344.24,344.24,True,251.6316,251.4320,251.6316,251.4320,251.4320,1119.3004
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0018,150,True,True,FEASIBLE,103.88,103.88,True,211.7496,211.6156,211.7496,211.6156,211.6156,1248.7952
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0018,150,True,True,FEASIBLE,103.88,103.88,True,394.7216,394.5168,394.7216,394.5168,394.5168,714.3216
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0019,150,True,True,FEASIBLE,242.56,242.56,True,117.5756,117.5280,117.5756,117.5280,117.5280,400.8296
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0019,150,True,True,FEASIBLE,242.56,242.56,True,147.7844,147.6312,147.7844,147.6312,147.6312,526.1008
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0000,150,True,True,FEASIBLE,43.76,43.76,True,251.4204,251.1584,251.4204,251.1584,251.1584,978.4704
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0000,150,True,True,FEASIBLE,43.76,43.76,True,251.4204,251.1584,251.4204,251.1584,251.1584,1723.2652
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0001,150,True,True,FEASIBLE,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,1004.0714
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0001,150,True,True,FEASIBLE,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,762.7780
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0002,150,True,True,OPTIMAL,163.36,163.36,True,58.7240,58.7240,58.7240,63.3936,63.3936,181.1884
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0002,150,True,True,OPTIMAL,163.36,163.36,True,160.5032,160.5032,160.5032,165.1104,165.1104,575.5398
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0003,150,True,True,FEASIBLE,533.36,533.36,True,975.1152,974.8536,975.1152,974.8536,974.8536,1454.3134
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0003,150,True,True,FEASIBLE,533.36,533.36,True,417.9356,417.6888,417.9356,417.6888,417.6888,1803.7416
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0004,150,True,True,FEASIBLE,126.8,126.8,True,1.1840,1.1552,1.1840,1.1552,1.1552,17.2768
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0004,150,True,True,FEASIBLE,126.8,126.8,True,1.1840,1.1552,1.1840,1.1552,1.1552,26.3480
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0005,150,True,True,OPTIMAL,541.6,541.6,True,538.5048,538.3656,538.5048,538.3656,538.3656,1087.4330
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0005,150,True,True,OPTIMAL,541.6,541.6,True,190.3692,190.2420,190.3692,190.2420,190.2420,286.6060
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0006,150,True,True,OPTIMAL,184.4,184.4,True,208.1664,208.0768,208.1664,208.0768,208.0768,337.0846
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0006,150,True,True,OPTIMAL,184.4,184.4,True,69.4352,69.2804,69.4352,69.2804,69.2804,310.4952
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0007,150,True,True,OPTIMAL,671.36,671.36,True,206.3132,206.1096,206.3132,206.1096,206.1096,341.7988
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0007,150,True,True,OPTIMAL,671.36,671.36,True,215.0348,214.8248,215.0348,214.8248,214.8248,321.8412
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0008,150,True,True,FEASIBLE,90.32,90.32,True,167.0964,166.9276,167.0964,166.9276,166.9276,901.2414
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0008,150,True,True,FEASIBLE,90.32,90.32,True,98.5060,98.4148,98.5060,98.4148,98.4148,994.7044
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0009,150,True,True,OPTIMAL,790.16,790.16,True,104.0718,103.9600,104.0718,103.9600,103.9600,349.6014
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0009,150,True,True,OPTIMAL,790.16,790.16,True,278.8728,278.8208,278.8728,278.8208,278.8208,1193.7052
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0010,150,True,True,FEASIBLE,215.6,215.6,True,330.1168,330.0320,330.1168,330.0320,330.0320,455.4554
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0010,150,True,True,FEASIBLE,215.6,215.6,True,200.0176,199.7712,200.0176,199.7712,199.7712,234.1044
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0011,150,True,True,FEASIBLE,221.04,221.04,True,151.4656,151.3036,151.4656,151.3036,151.3036,782.9106
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0011,150,True,True,FEASIBLE,221.04,221.04,True,341.0996,340.9600,341.0996,340.9600,340.9600,881.2938
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0012,150,True,True,OPTIMAL,188.08,188.08,True,315.6784,315.5928,315.6784,315.5928,315.5928,390.7442
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0012,150,True,True,OPTIMAL,188.08,188.08,True,138.9568,138.8728,138.9568,138.8728,138.8728,173.9768
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0013,150,True,True,OPTIMAL,474.84,474.84,True,697.0168,696.7528,697.0168,696.7528,696.7528,747.5078
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0013,150,True,True,OPTIMAL,474.84,474.84,True,569.1120,568.9244,569.1120,568.9244,568.9244,850.6504
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0014,150,True,True,FEASIBLE,826.56,826.56,True,476.4732,476.3720,476.4732,476.3720,476.3720,1124.4984
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0014,150,True,True,FEASIBLE,826.56,826.56,True,494.2436,494.1336,494.2436,494.1336,494.1336,829.5036
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0015,150,True,True,FEASIBLE,56.8,56.8,True,56.7040,56.6240,56.7040,56.6240,56.6240,557.9408
12,pmmix_p50_c60,1.0,c12_pmmix_150_p50_c60_0015,150,True,True,FEASIBLE,56.8,56.8,True,45.5464,45.4904,45.5464,45.4904,45.4904,136.6068
12,pmmix_p50_c60,0.5,c12_pmmix_150_p50_c60_0016,150,True,True,FEASIBLE,33.36,33.36,True,93.7116,93.6484,93.7116,93.6484,93.6484,654.4554
